date,value,variation
2019-12-29,12.90,1.26
2019-12-22,12.74,5.46
2019-12-15,12.08,-12.02
2019-12-08,13.73,-8.95
2019-12-01,15.08,2.59
2019-11-24,14.70,16.39
2019-11-17,12.63,6.13
2019-11-10,11.90,0.68
2019-11-03,11.82,13.87
2019-10-27,10.38,-3.08
2019-10-20,10.71,3.98
2019-10-13,10.30,-0.87
2019-10-06,10.39,-2.62
2019-09-29,10.67,7.34
2019-09-22,9.94,4.08
2019-09-15,9.55,8.40
2019-09-08,8.81,11.94
2019-09-01,7.87,-7.30
2019-08-25,8.49,6.12
2019-08-18,8.00,-2.79
2019-08-11,8.23,-9.06
2019-08-04,9.05,6.60
2019-07-28,8.49,-0.35
2019-07-21,8.52,0.35
2019-07-14,8.49,1.31
2019-07-07,8.38,-1.64
2019-06-30,8.52,7.17
2019-06-23,7.95,0.00
2019-06-16,7.95,-2.69
2019-06-09,8.17,1.24
2019-06-02,8.07,-1.59
2019-05-26,8.20,4.06
2019-05-19,7.88,0.13
2019-05-12,7.87,-6.53
2019-05-05,8.42,-3.99
2019-04-28,8.77,10.59
2019-04-21,7.93,10.14
2019-04-14,7.20,0.56
2019-04-07,7.16,-4.28
2019-03-31,7.48,6.40
2019-03-24,7.03,1.15
2019-03-17,6.95,3.42
2019-03-10,6.72,3.86
2019-03-03,6.47,1.25
2019-02-24,6.39,4.75
2019-02-17,6.10,2.52
2019-02-10,5.95,0.51
2019-02-03,5.92,-3.27
2019-01-27,6.12,10.27
2019-01-20,5.55,-3.14
2019-01-13,5.73,6.11
2019-01-06,5.40,0.00
2018-12-30,5.40,8.22
2018-12-23,4.99,0.40
2018-12-16,4.97,-3.31
2018-12-09,5.14,-6.20
2018-12-02,5.48,-0.54
2018-11-25,5.51,0.18
2018-11-18,5.50,-6.78
2018-11-11,5.90,6.88
2018-11-04,5.52,-0.18
2018-10-28,5.53,7.59
2018-10-21,5.14,0.00
2018-10-14,5.14,-1.53
2018-10-07,5.22,5.24
2018-09-30,4.96,-1.00
2018-09-23,5.01,2.45
2018-09-16,4.89,-0.20
2018-09-09,4.90,-12.97
2018-09-02,5.63,-3.26
2018-08-26,5.82,-3.80
2018-08-19,6.05,-0.66
2018-08-12,6.09,-5.58
2018-08-05,6.45,-12.24
2018-07-29,7.35,-0.68
2018-07-22,7.40,5.41
2018-07-15,7.02,3.69
2018-07-08,6.77,-4.92
2018-07-01,7.12,13.56
2018-06-24,6.27,-8.73
2018-06-17,6.87,3.00
2018-06-10,6.67,-14.49
2018-06-03,7.80,7.59
2018-05-27,7.25,-6.09
2018-05-20,7.72,10.92
2018-05-13,6.96,-3.33
2018-05-06,7.20,-6.98
2018-04-29,7.74,-5.61
2018-04-22,8.20,0.86
2018-04-15,8.13,-1.09
2018-04-08,8.22,2.62
2018-04-01,8.01,5.81
2018-03-25,7.57,-5.96
2018-03-18,8.05,-4.17
2018-03-11,8.40,-4.76
2018-03-04,8.82,-5.57
2018-02-25,9.34,-0.21
2018-02-18,9.36,-0.53
2018-02-11,9.41,3.29
2018-02-04,9.11,-6.85
2018-01-28,9.78,0.72
2018-01-21,9.71,-3.77
2018-01-14,10.09,-2.04
2018-01-07,10.30,-5.42
2017-12-31,10.89,2.25
2017-12-24,10.65,3.30
2017-12-17,10.31,-0.39
2017-12-10,10.35,-4.26
2017-12-03,10.81,-1.73
2017-11-26,11.00,-3.08
2017-11-19,11.35,-1.90
2017-11-12,11.57,4.23
2017-11-05,11.10,-0.63
2017-10-29,11.17,-1.76
2017-10-22,11.37,-2.99
2017-10-15,11.72,1.21
2017-10-08,11.58,0.43
2017-10-01,11.53,2.95
2017-09-24,11.20,-1.93
2017-09-17,11.42,-3.14
2017-09-10,11.79,4.24
2017-09-03,11.31,-2.33
2017-08-27,11.58,-7.73
2017-08-20,12.55,2.45
2017-08-13,12.25,-3.54
2017-08-06,12.70,3.25
2017-07-30,12.30,-0.65
2017-07-23,12.38,-2.06
2017-07-16,12.64,0.80
2017-07-09,12.54,-0.08
2017-07-02,12.55,1.95
2017-06-25,12.31,2.93
2017-06-18,11.96,-2.29
2017-06-11,12.24,3.47
2017-06-04,11.83,7.84
2017-05-28,10.97,1.11
2017-05-21,10.85,14.81
2017-05-14,9.45,-9.13
2017-05-07,10.40,-1.05
2017-04-30,10.51,4.06
2017-04-23,10.10,3.59
2017-04-16,9.75,-2.01
2017-04-09,9.95,1.12
2017-04-02,9.84,3.58
2017-03-26,9.50,1.93
2017-03-19,9.32,-5.09
2017-03-12,9.82,-4.01
2017-03-05,10.23,-2.20
2017-02-26,10.46,-0.48
2017-02-19,10.51,-9.24
2017-02-12,11.58,1.31
2017-02-05,11.43,-1.30
2017-01-29,11.58,1.31
2017-01-22,11.43,-1.97
2017-01-15,11.66,0.87
2017-01-08,11.56,1.14
2017-01-01,11.43,-3.30
2016-12-25,11.82,2.34
2016-12-18,11.55,1.40
2016-12-11,11.39,-2.82
2016-12-04,11.72,-1.84
2016-11-27,11.94,0.17
2016-11-20,11.92,12.99
2016-11-13,10.55,3.74
2016-11-06,10.17,10.18
2016-10-30,9.23,-6.67
2016-10-23,9.89,0.20
2016-10-16,9.87,-2.95
2016-10-09,10.17,2.31
2016-10-02,9.94,6.42
2016-09-25,9.34,-1.99
2016-09-18,9.53,-1.75
2016-09-11,9.70,3.30
2016-09-04,9.39,-2.59
2016-08-28,9.64,6.76
2016-08-21,9.03,2.15
2016-08-14,8.84,-3.18
2016-08-07,9.13,-1.30
2016-07-31,9.25,-0.96
2016-07-24,9.34,1.41
2016-07-17,9.21,5.98
2016-07-10,8.69,-2.69
2016-07-03,8.93,0.90
2016-06-26,8.85,0.11
2016-06-19,8.84,0.91
2016-06-12,8.76,-4.58
2016-06-05,9.18,0.66
2016-05-29,9.12,-0.98
2016-05-22,9.21,-2.64
2016-05-15,9.46,-4.64
2016-05-08,9.92,2.48
2016-05-01,9.68,-5.84
2016-04-24,10.28,-5.34
2016-04-17,10.86,4.02
2016-04-10,10.44,4.71
2016-04-03,9.97,-9.86
2016-03-27,11.06,-1.60
2016-03-20,11.24,1.35
2016-03-13,11.09,1.28
2016-03-06,10.95,-4.53
2016-02-28,11.47,2.05
2016-02-21,11.24,-2.26
2016-02-14,11.50,5.12
2016-02-07,10.94,-6.97
2016-01-31,11.76,-1.59
2016-01-24,11.95,3.55
2016-01-17,11.54,5.87
2016-01-10,10.90,-6.28
2016-01-03,11.63,-10.12
2015-12-27,12.94,4.86
2015-12-20,12.34,7.21
2015-12-13,11.51,0.26
2015-12-06,11.48,6.30
2015-11-29,10.80,-2.61
2015-11-22,11.09,-5.29
2015-11-15,11.71,-3.30
2015-11-08,12.11,-3.89
2015-11-01,12.60,1.45
2015-10-25,12.42,-1.90
2015-10-18,12.66,-1.09
2015-10-11,12.80,3.06
2015-10-04,12.42,-7.17
2015-09-27,13.38,6.11
2015-09-20,12.61,0.32
2015-09-13,12.57,2.11
2015-09-06,12.31,2.33
2015-08-30,12.03,7.70
2015-08-23,11.17,3.52
2015-08-16,10.79,-4.43
2015-08-09,11.29,9.51
2015-08-02,10.31,-6.19
2015-07-26,10.99,12.95
2015-07-19,9.73,-9.07
2015-07-12,10.70,2.29
2015-07-05,10.46,-2.24
2015-06-28,10.70,-4.21
2015-06-21,11.17,5.68
2015-06-14,10.57,3.93
2015-06-07,10.17,4.52
2015-05-31,9.73,-1.92
2015-05-24,9.92,-1.00
2015-05-17,10.02,7.28
2015-05-10,9.34,6.62
2015-05-03,8.76,2.70
2015-04-26,8.53,14.04
2015-04-19,7.48,0.54
2015-04-12,7.44,-6.77
2015-04-05,7.98,10.83
2015-03-29,7.20,3.30
2015-03-22,6.97,-12.44
2015-03-15,7.96,6.28
2015-03-08,7.49,-5.55
2015-03-01,7.93,-9.37
2015-02-22,8.75,4.54
2015-02-15,8.37,6.22
2015-02-08,7.88,-3.55
2015-02-01,8.17,-2.74
2015-01-25,8.40,-2.55
2015-01-18,8.62,-9.17
2015-01-11,9.49,5.09
2015-01-04,9.03,-2.06
2014-12-28,9.22,-1.39
2014-12-21,9.35,1.19
2014-12-14,9.24,-1.07
2014-12-07,9.34,-4.98
2014-11-30,9.83,-11.36
2014-11-23,11.09,1.74
2014-11-16,10.90,0.00
2014-11-09,10.90,-6.76
2014-11-02,11.69,-5.80
2014-10-26,12.41,8.10
2014-10-19,11.48,-5.51
2014-10-12,12.15,-1.38
2014-10-05,12.32,1.65
2014-09-28,12.12,-4.19
2014-09-21,12.65,-3.95
2014-09-14,13.17,5.44
2014-09-07,12.49,-3.48
2014-08-31,12.94,-0.23
2014-08-24,12.97,7.55
2014-08-17,12.06,-1.63
2014-08-10,12.26,3.20
2014-08-03,11.88,4.39
2014-07-27,11.38,2.15
2014-07-20,11.14,1.64
2014-07-13,10.96,-0.90
2014-07-06,11.06,0.73
2014-06-29,10.98,0.73
2014-06-22,10.90,4.71
2014-06-15,10.41,1.86
2014-06-08,10.22,-0.87
2014-06-01,10.31,8.07
2014-05-25,9.54,-0.93
2014-05-18,9.63,-0.72
2014-05-11,9.70,1.04
2014-05-04,9.60,-2.64
2014-04-27,9.86,2.39
2014-04-20,9.63,-5.77
2014-04-13,10.22,3.13
2014-04-06,9.91,-2.94
2014-03-30,10.21,3.76
2014-03-23,9.84,-0.81
2014-03-16,9.92,3.98
2014-03-09,9.54,0.00
2014-03-02,9.54,-7.02
2014-02-23,10.26,0.88
2014-02-16,10.17,-2.31
2014-02-09,10.41,-0.57
2014-02-02,10.47,-1.97
2014-01-26,10.68,-4.30
2014-01-19,11.16,-0.62
2014-01-12,11.23,2.56
2014-01-05,10.95,-1.26
2013-12-29,11.09,2.21
2013-12-22,10.85,3.04
2013-12-15,10.53,7.67
2013-12-08,9.78,-1.21
2013-12-01,9.90,-2.17
2013-11-24,10.12,3.37
2013-11-17,9.79,-1.81
2013-11-10,9.97,0.50
2013-11-03,9.92,0.20
2013-10-27,9.90,3.88
2013-10-20,9.53,-0.73
2013-10-13,9.60,1.05
2013-10-06,9.50,-4.90
2013-09-29,9.99,0.10
2013-09-22,9.98,-4.04
2013-09-15,10.40,-7.56
2013-09-08,11.25,2.27
2013-09-01,11.00,1.85
2013-08-25,10.80,-0.46
2013-08-18,10.85,0.93
2013-08-11,10.75,6.97
2013-08-04,10.05,4.47
2013-07-28,9.62,6.89
2013-07-21,9.00,-4.46
2013-07-14,9.42,8.28
2013-07-07,8.70,-5.95
2013-06-30,9.25,-10.89
2013-06-23,10.38,1.67
2013-06-16,10.21,-1.07
2013-06-09,10.32,-0.29
2013-06-02,10.35,-1.90
2013-05-26,10.55,1.93
2013-05-19,10.35,-3.27
2013-05-12,10.70,-6.71
2013-05-05,11.47,-4.34
2013-04-28,11.99,6.20
2013-04-21,11.29,-4.81
2013-04-14,11.86,-4.74
2013-04-07,12.45,-1.27
2013-03-31,12.61,-3.74
2013-03-24,13.10,3.15
2013-03-17,12.70,-0.78
2013-03-10,12.80,9.59
2013-03-03,11.68,-8.39
2013-02-24,12.75,-2.45
2013-02-17,13.07,-2.39
2013-02-10,13.39,6.27
2013-02-03,12.60,-3.08
2013-01-27,13.00,2.36
2013-01-20,12.70,2.83
2013-01-13,12.35,7.48
2013-01-06,11.49,2.59
2012-12-30,11.20,-0.36
2012-12-23,11.24,4.95
2012-12-16,10.71,5.00
2012-12-09,10.20,-5.82
2012-12-02,10.83,0.84
2012-11-25,10.74,-10.05
2012-11-18,11.94,3.83
2012-11-11,11.50,0.00
2012-11-04,11.50,2.68
2012-10-28,11.20,2.85
2012-10-21,10.89,-7.63
2012-10-14,11.79,0.86
2012-10-07,11.69,-1.18
2012-09-30,11.83,5.25
2012-09-23,11.24,-3.93
2012-09-16,11.70,9.86
2012-09-09,10.65,-1.39
2012-09-02,10.80,1.69
2012-08-26,10.62,-3.19
2012-08-19,10.97,10.25
2012-08-12,9.95,-0.40
2012-08-05,9.99,3.63
2012-07-29,9.64,4.44
2012-07-22,9.23,5.61
2012-07-15,8.74,7.90
2012-07-08,8.10,-4.03
2012-07-01,8.44,-0.47
2012-06-24,8.48,10.13
2012-06-17,7.70,1.18
2012-06-10,7.61,0.26
2012-06-03,7.59,-0.13
2012-05-27,7.60,-2.44
2012-05-20,7.79,-0.13
2012-05-13,7.80,-3.70
2012-05-06,8.10,-4.71
2012-04-29,8.50,-1.16
2012-04-22,8.60,6.17
2012-04-15,8.10,2.79
2012-04-08,7.88,0.38
2012-04-01,7.85,11.03
2012-03-25,7.07,1.29
2012-03-18,6.98,5.60
2012-03-11,6.61,6.10
2012-03-04,6.23,1.96
2012-02-26,6.11,3.74
2012-02-19,5.89,-6.66
