date,value,variation
2019-12-29,12.55,0.29
2019-12-22,12.52,3.39
2019-12-15,12.11,4.76
2019-12-08,11.56,0.08
2019-12-01,11.55,-0.23
2019-11-24,11.58,1.16
2019-11-17,11.44,0.16
2019-11-10,11.42,-1.60
2019-11-03,11.61,-2.60
2019-10-27,11.92,2.13
2019-10-20,11.67,-3.59
2019-10-13,12.11,-1.59
2019-10-06,12.30,-0.64
2019-09-29,12.38,-0.99
2019-09-22,12.51,-1.33
2019-09-15,12.67,-0.97
2019-09-08,12.80,-1.90
2019-09-01,13.05,-0.34
2019-08-25,13.09,1.30
2019-08-18,12.92,0.21
2019-08-11,12.90,-0.41
2019-08-04,12.95,1.67
2019-07-28,12.74,1.77
2019-07-21,12.52,-2.69
2019-07-14,12.86,-4.10
2019-07-07,13.41,0.53
2019-06-30,13.34,1.28
2019-06-23,13.17,0.75
2019-06-16,13.07,1.45
2019-06-09,12.89,-4.09
2019-06-02,13.44,2.64
2019-05-26,13.09,9.33
2019-05-19,11.97,8.09
2019-05-12,11.08,-9.36
2019-05-05,12.22,-1.71
2019-04-28,12.43,-0.21
2019-04-21,12.46,2.91
2019-04-14,12.11,0.57
2019-04-07,12.04,-0.28
2019-03-31,12.07,1.08
2019-03-24,11.94,0.87
2019-03-17,11.84,-6.39
2019-03-10,12.65,4.40
2019-03-03,12.12,0.28
2019-02-24,12.08,0.07
2019-02-17,12.07,1.81
2019-02-10,11.86,2.99
2019-02-03,11.52,-2.26
2019-01-27,11.78,-5.38
2019-01-20,12.45,4.39
2019-01-13,11.93,0.14
2019-01-06,11.91,0.00
2018-12-30,11.91,0.00
2018-12-23,11.91,4.71
2018-12-16,11.37,3.96
2018-12-09,10.94,5.49
2018-12-02,10.37,-4.01
2018-11-25,10.80,3.33
2018-11-18,10.46,4.50
2018-11-11,10.01,4.25
2018-11-04,9.60,2.73
2018-10-28,9.34,-8.80
2018-10-21,10.24,14.22
2018-10-14,8.97,3.94
2018-10-07,8.63,17.34
2018-09-30,7.35,20.81
2018-09-23,6.09,-3.24
2018-09-16,6.29,8.82
2018-09-09,5.78,-6.21
2018-09-02,6.16,-2.82
2018-08-26,6.34,0.95
2018-08-19,6.28,-9.88
2018-08-12,6.97,5.53
2018-08-05,6.61,-6.95
2018-07-29,7.10,2.45
2018-07-22,6.93,1.12
2018-07-15,6.85,2.28
2018-07-08,6.70,1.94
2018-07-01,6.57,5.89
2018-06-24,6.21,10.77
2018-06-17,5.60,-3.09
2018-06-10,5.78,-0.15
2018-06-03,5.79,-10.39
2018-05-27,6.46,-2.19
2018-05-20,6.61,1.44
2018-05-13,6.51,-3.16
2018-05-06,6.72,0.25
2018-04-29,6.71,-0.76
2018-04-22,6.76,0.36
2018-04-15,6.73,2.93
