date,value,variation
2019-12-29,17.69,4.43
2019-12-22,16.94,0.59
2019-12-15,16.84,0.42
2019-12-08,16.77,4.16
2019-12-01,16.10,7.12
2019-11-24,15.03,-1.25
2019-11-17,15.22,3.47
2019-11-10,14.71,2.37
2019-11-03,14.37,0.91
2019-10-27,14.24,2.89
2019-10-20,13.84,0.73
2019-10-13,13.74,2.00
2019-10-06,13.47,3.86
2019-09-29,12.97,0.15
2019-09-22,12.95,-1.22
2019-09-15,13.11,-0.68
2019-09-08,13.20,5.52
2019-09-01,12.51,3.39
2019-08-25,12.10,4.22
2019-08-18,11.61,-3.25
2019-08-11,12.00,-6.98
2019-08-04,12.90,4.28
2019-07-28,12.37,2.32
2019-07-21,12.09,0.92
2019-07-14,11.98,-0.33
2019-07-07,12.02,1.78
2019-06-30,11.81,5.73
2019-06-23,11.17,-0.09
2019-06-16,11.18,-2.27
2019-06-09,11.44,-0.09
2019-06-02,11.45,0.35
2019-05-26,11.41,5.94
2019-05-19,10.77,5.28
2019-05-12,10.23,-5.54
2019-05-05,10.83,-0.91
2019-04-28,10.93,1.30
2019-04-21,10.79,-1.82
2019-04-14,10.99,5.37
2019-04-07,10.43,-4.22
2019-03-31,10.89,7.82
2019-03-24,10.10,-5.61
2019-03-17,10.70,2.10
2019-03-10,10.48,5.22
2019-03-03,9.96,-1.39
2019-02-24,10.10,-5.34
2019-02-17,10.67,5.02
2019-02-10,10.16,-0.49
2019-02-03,10.21,-2.76
2019-01-27,10.50,2.04
2019-01-20,10.29,3.00
2019-01-13,9.99,8.35
2019-01-06,9.22,8.09
2018-12-30,8.53,7.70
2018-12-23,7.92,3.53
2018-12-16,7.65,-3.04
2018-12-09,7.89,-2.83
2018-12-02,8.12,-0.49
2018-11-25,8.16,4.08
2018-11-18,7.84,-3.80
2018-11-11,8.15,0.37
2018-11-04,8.12,5.05
2018-10-28,7.73,-3.01
2018-10-21,7.97,-10.25
2018-10-14,8.88,9.49
2018-10-07,8.11,-1.70
2018-09-30,8.25,7.56
2018-09-23,7.67,-2.04
2018-09-16,7.83,-1.14
2018-09-09,7.92,-2.82
2018-09-02,8.15,-1.09
2018-08-26,8.24,-3.40
2018-08-19,8.53,-0.12
2018-08-12,8.54,-1.95
2018-08-05,8.71,-7.24
2018-07-29,9.39,2.18
2018-07-22,9.19,-1.71
2018-07-15,9.35,3.20
2018-07-08,9.06,5.72
2018-07-01,8.57,2.88
2018-06-24,8.33,-0.60
2018-06-17,8.38,2.20
2018-06-10,8.20,-3.30
2018-06-03,8.48,-6.81
2018-05-27,9.10,-2.99
2018-05-20,9.38,-0.95
2018-05-13,9.47,2.27
2018-05-06,9.26,6.31
2018-04-29,8.71,-6.14
2018-04-22,9.28,5.94
2018-04-15,8.76,-3.52
2018-04-08,9.08,-0.33
2018-04-01,9.11,-4.61
2018-03-25,9.55,-1.14
2018-03-18,9.66,-3.98
2018-03-11,10.06,-3.18
2018-03-04,10.39,1.86
2018-02-25,10.20,-3.59
2018-02-18,10.58,7.19
2018-02-11,9.87,-1.20
2018-02-04,9.99,-1.38
2018-01-28,10.13,-2.69
2018-01-21,10.41,6.77
2018-01-14,9.75,1.56
2018-01-07,9.60,-2.74
2017-12-31,9.87,3.35
2017-12-24,9.55,1.17
2017-12-17,9.44,5.12
2017-12-10,8.98,12.25
2017-12-03,8.00,-2.56
2017-11-26,8.21,-2.26
2017-11-19,8.40,1.08
2017-11-12,8.31,-0.48
2017-11-05,8.35,-2.11
2017-10-29,8.53,-2.74
2017-10-22,8.77,-1.02
