date,value,variation
2019-12-29,30.88,9.26
2019-12-22,28.26,2.88
2019-12-15,27.47,-0.85
2019-12-08,27.71,6.10
2019-12-01,26.12,7.19
2019-11-24,24.36,-1.50
2019-11-17,24.74,-0.44
2019-11-10,24.84,-0.62
2019-11-03,25.00,-2.41
2019-10-27,25.62,8.62
2019-10-20,23.58,-0.08
2019-10-13,23.60,4.38
2019-10-06,22.61,-0.76
2019-09-29,22.78,6.54
2019-09-22,21.39,0.21
2019-09-15,21.34,6.72
2019-09-08,20.00,-5.85
2019-09-01,21.24,-7.11
2019-08-25,22.87,5.66
2019-08-18,21.64,-0.67
2019-08-11,21.79,-5.88
2019-08-04,23.15,0.59
2019-07-28,23.01,8.10
2019-07-21,21.29,6.88
2019-07-14,19.92,-1.17
2019-07-07,20.15,0.40
2019-06-30,20.07,9.90
2019-06-23,18.26,4.79
2019-06-16,17.43,4.47
2019-06-09,16.68,1.17
2019-06-02,16.49,7.68
2019-05-26,15.31,6.47
2019-05-19,14.38,7.34
2019-05-12,13.40,-11.02
2019-05-05,15.06,2.21
2019-04-28,14.73,-0.94
2019-04-21,14.87,6.47
2019-04-14,13.97,0.95
2019-04-07,13.84,-3.79
2019-03-31,14.38,0.68
2019-03-24,14.29,0.18
2019-03-17,14.26,-5.31
2019-03-10,15.06,-0.52
2019-03-03,15.14,1.71
2019-02-24,14.88,0.00
2019-02-17,14.88,2.73
2019-02-10,14.49,-0.78
2019-02-03,14.60,-0.60
2019-01-27,14.69,-3.57
2019-01-20,15.23,1.70
2019-01-13,14.98,3.08
2019-01-06,14.53,3.50
2018-12-30,14.04,3.36
2018-12-23,13.58,3.76
2018-12-16,13.09,0.32
2018-12-09,13.05,4.81
2018-12-02,12.45,3.58
2018-11-25,12.02,1.57
2018-11-18,11.83,-2.30
2018-11-11,12.11,7.09
2018-11-04,11.31,-5.96
2018-10-28,12.03,4.24
2018-10-21,11.54,8.75
2018-10-14,10.61,-0.24
2018-10-07,10.64,5.09
2018-09-30,10.12,11.64
2018-09-23,9.07,1.13
2018-09-16,8.96,3.01
2018-09-09,8.70,-3.64
2018-09-02,9.03,-2.10
2018-08-26,9.23,2.15
2018-08-19,9.03,-5.73
2018-08-12,9.58,-2.41
2018-08-05,9.82,-5.52
2018-07-29,10.39,2.58
2018-07-22,10.13,-2.60
2018-07-15,10.40,3.70
2018-07-08,10.03,2.50
2018-07-01,9.78,5.36
2018-06-24,9.29,5.46
2018-06-17,8.80,3.78
2018-06-10,8.48,-4.65
2018-06-03,8.90,-12.24
2018-05-27,10.14,-3.46
2018-05-20,10.50,-2.81
2018-05-13,10.80,1.91
2018-05-06,10.60,-1.68
2018-04-29,10.78,-3.35
2018-04-22,11.16,1.10
2018-04-15,11.04,-4.23
