date,value,variation
2019-12-29,50.34,2.93
2019-12-22,48.90,4.72
2019-12-15,46.70,1.10
2019-12-08,46.19,0.71
2019-12-01,45.86,5.32
2019-11-24,43.55,3.11
2019-11-17,42.23,2.35
2019-11-10,41.27,-1.95
2019-11-03,42.08,-1.70
2019-10-27,42.81,5.63
2019-10-20,40.53,-0.53
2019-10-13,40.74,1.51
2019-10-06,40.14,-2.04
2019-09-29,40.98,0.14
2019-09-22,40.92,-2.09
2019-09-15,41.80,1.98
2019-09-08,40.99,0.05
2019-09-01,40.97,-2.18
2019-08-25,41.88,2.86
2019-08-18,40.72,-3.15
2019-08-11,42.04,-5.66
2019-08-04,44.56,-0.97
2019-07-28,45.00,1.09
2019-07-21,44.51,1.94
2019-07-14,43.67,0.86
2019-07-07,43.30,4.38
2019-06-30,41.48,2.48
2019-06-23,40.47,0.65
2019-06-16,40.21,-0.96
2019-06-09,40.60,-5.61
2019-06-02,43.02,-0.26
2019-05-26,43.13,10.92
2019-05-19,38.88,3.75
2019-05-12,37.48,-5.45
2019-05-05,39.64,0.22
2019-04-28,39.55,-3.86
2019-04-21,41.14,4.51
2019-04-14,39.36,0.86
2019-04-07,39.03,-4.54
2019-03-31,40.89,3.04
2019-03-24,39.68,4.48
2019-03-17,37.98,-5.37
2019-03-10,40.13,7.54
2019-03-03,37.32,-0.47
2019-02-24,37.50,-3.56
2019-02-17,38.88,-3.08
2019-02-10,40.12,-0.53
2019-02-03,40.33,1.76
2019-01-27,39.63,1.57
2019-01-20,39.02,9.12
2019-01-13,35.76,4.54
2019-01-06,34.21,3.66
2018-12-30,33.00,7.57
2018-12-23,30.68,1.73
2018-12-16,30.16,-4.13
2018-12-09,31.46,-3.52
2018-12-02,32.60,3.53
2018-11-25,31.49,4.70
2018-11-18,30.08,-1.63
2018-11-11,30.58,4.48
2018-11-04,29.27,1.99
2018-10-28,28.69,4.18
2018-10-21,27.54,1.45
2018-10-14,27.15,7.22
2018-10-07,25.32,-1.80
2018-09-30,25.79,1.72
2018-09-23,25.35,-1.44
2018-09-16,25.72,-0.44
2018-09-09,25.84,-2.16
2018-09-02,26.41,0.16
2018-08-26,26.36,2.50
2018-08-19,25.72,1.96
2018-08-12,25.23,-0.64
2018-08-05,25.39,-0.96
2018-07-29,25.64,2.28
2018-07-22,25.06,2.45
2018-07-15,24.46,-0.96
2018-07-08,24.70,5.87
2018-07-01,23.33,0.12
2018-06-24,23.31,1.33
2018-06-17,23.00,-1.26
2018-06-10,23.29,-1.53
2018-06-03,23.65,-7.61
2018-05-27,25.60,-0.03
2018-05-20,25.61,-2.77
2018-05-13,26.34,4.74
2018-05-06,25.15,1.65
2018-04-29,24.74,-3.48
2018-04-22,25.63,2.85
2018-04-15,24.92,-2.01
2018-04-08,25.43,0.37
2018-04-01,25.34,-2.43
2018-03-25,25.97,1.87
2018-03-18,25.49,0.13
2018-03-11,25.46,-1.94
2018-03-04,25.96,0.00
2018-02-25,25.96,0.38
2018-02-18,25.86,6.15
2018-02-11,24.36,5.12
2018-02-04,23.17,-2.92
2018-01-28,23.87,-2.20
2018-01-21,24.41,0.16
2018-01-14,24.37,4.70
2018-01-07,23.27,-0.28
2017-12-31,23.34,-0.87
2017-12-24,23.55,0.57
2017-12-17,23.41,-0.56
2017-12-10,23.55,1.89
2017-12-03,23.11,-1.36
2017-11-26,23.43,-4.82
2017-11-19,24.61,1.45
2017-11-12,24.26,0.80
2017-11-05,24.07,4.73
2017-10-29,22.98,-3.71
2017-10-22,23.87,0.44
2017-10-15,23.77,-2.98
2017-10-08,24.50,1.73
2017-10-01,24.08,1.93
2017-09-24,23.62,0.55
2017-09-17,23.49,-1.39
2017-09-10,23.82,-0.68
2017-09-03,23.99,1.74
2017-08-27,23.58,2.99
2017-08-20,22.89,0.69
2017-08-13,22.74,1.54
2017-08-06,22.39,-5.08
2017-07-30,23.59,3.64
2017-07-23,22.76,0.32
2017-07-16,22.69,0.20
2017-07-09,22.64,1.05
2017-07-02,22.41,1.39
2017-06-25,22.10,-1.85
2017-06-18,22.52,0.44
2017-06-11,22.42,3.33
2017-06-04,21.70,-0.27
2017-05-28,21.76,0.91
2017-05-21,21.56,0.96
2017-05-14,21.36,-2.99
