date,value,variation
2019-12-29,11.07,1.19
2019-12-22,10.94,1.11
2019-12-15,10.82,8.53
2019-12-08,9.97,2.78
2019-12-01,9.70,1.78
2019-11-24,9.53,2.47
2019-11-17,9.30,4.73
2019-11-10,8.88,1.14
2019-11-03,8.78,6.94
2019-10-27,8.21,6.35
2019-10-20,7.72,-0.52
2019-10-13,7.76,4.44
2019-10-06,7.43,-1.59
2019-09-29,7.55,-0.53
2019-09-22,7.59,6.90
2019-09-15,7.10,5.97
2019-09-08,6.70,2.60
2019-09-01,6.53,-2.68
2019-08-25,6.71,5.50
2019-08-18,6.36,-2.75
2019-08-11,6.54,-3.11
2019-08-04,6.75,3.85
2019-07-28,6.50,3.83
2019-07-21,6.26,-2.64
2019-07-14,6.43,0.47
2019-07-07,6.40,-0.47
2019-06-30,6.43,6.63
2019-06-23,6.03,2.73
2019-06-16,5.87,1.38
2019-06-09,5.79,-0.86
2019-06-02,5.84,2.64
2019-05-26,5.69,7.77
2019-05-19,5.28,3.33
2019-05-12,5.11,-1.16
2019-05-05,5.17,4.23
2019-04-28,4.96,0.20
2019-04-21,4.95,1.43
2019-04-14,4.88,1.67
2019-04-07,4.80,-1.03
2019-03-31,4.85,4.98
2019-03-24,4.62,-0.22
2019-03-17,4.63,1.09
2019-03-10,4.58,-1.29
2019-03-03,4.64,0.43
2019-02-24,4.62,-0.86
2019-02-17,4.66,-1.27
2019-02-10,4.72,3.74
2019-02-03,4.55,-3.60
2019-01-27,4.72,5.36
2019-01-20,4.48,2.28
2019-01-13,4.38,0.92
2019-01-06,4.34,2.36
2018-12-30,4.24,5.47
2018-12-23,4.02,1.01
2018-12-16,3.98,-0.25
2018-12-09,3.99,6.97
2018-12-02,3.73,4.78
2018-11-25,3.56,2.01
2018-11-18,3.49,-0.85
2018-11-11,3.52,0.86
2018-11-04,3.49,1.16
2018-10-28,3.45,-0.29
2018-10-21,3.46,2.98
2018-10-14,3.36,1.20
2018-10-07,3.32,-0.30
2018-09-30,3.33,0.60
2018-09-23,3.31,0.00
2018-09-16,3.31,1.53
2018-09-09,3.26,-2.10
2018-09-02,3.33,3.10
2018-08-26,3.23,2.22
2018-08-19,3.16,-1.86
2018-08-12,3.22,3.54
2018-08-05,3.11,-2.20
2018-07-29,3.18,1.92
2018-07-22,3.12,0.65
2018-07-15,3.10,3.33
2018-07-08,3.00,2.74
2018-07-01,2.92,-2.01
2018-06-24,2.98,0.34
2018-06-17,2.97,-7.48
2018-06-10,3.21,-3.02
2018-06-03,3.31,2.16
2018-05-27,3.24,-1.82
2018-05-20,3.30,-1.20
2018-05-13,3.34,-4.02
2018-05-06,3.48,-0.57
2018-04-29,3.50,5.11
2018-04-22,3.33,0.30
2018-04-15,3.32,-2.92
2018-04-08,3.42,-0.58
2018-04-01,3.44,4.24
2018-03-25,3.30,-5.17
2018-03-18,3.48,2.05
2018-03-11,3.41,0.59
2018-03-04,3.39,-0.29
2018-02-25,3.40,-1.73
2018-02-18,3.46,-1.14
2018-02-11,3.50,0.29
2018-02-04,3.49,-1.69
2018-01-28,3.55,3.80
2018-01-21,3.42,-2.01
2018-01-14,3.49,0.58
2018-01-07,3.47,-1.42
2017-12-31,3.52,1.15
2017-12-24,3.48,0.87
2017-12-17,3.45,-1.43
2017-12-10,3.50,0.00
2017-12-03,3.50,1.74
2017-11-26,3.44,-1.71
2017-11-19,3.50,5.42
2017-11-12,3.32,0.61
2017-11-05,3.30,-2.37
2017-10-29,3.38,-1.17
2017-10-22,3.42,-0.58
2017-10-15,3.44,0.58
2017-10-08,3.42,9.62
2017-10-01,3.12,-19.79
2017-09-24,3.89,3.73
2017-09-17,3.75,-3.85
2017-09-10,3.90,0.00
2017-09-03,3.90,2.36
2017-08-27,3.81,3.25
2017-08-20,3.69,2.79
2017-08-13,3.59,2.57
2017-08-06,3.50,-0.57
2017-07-30,3.52,-0.56
2017-07-23,3.54,2.91
2017-07-16,3.44,0.58
2017-07-09,3.42,-0.87
2017-07-02,3.45,1.47
2017-06-25,3.40,2.72
2017-06-18,3.31,-5.16
2017-06-11,3.49,3.25
2017-06-04,3.38,0.00
2017-05-28,3.38,0.90
2017-05-21,3.35,-0.59
2017-05-14,3.37,-3.71
2017-05-07,3.50,0.00
2017-04-30,3.50,-4.11
2017-04-23,3.65,-1.08
2017-04-16,3.69,4.53
2017-04-09,3.53,-0.84
2017-04-02,3.56,-1.66
2017-03-26,3.62,-3.47
2017-03-19,3.75,15.03
2017-03-12,3.26,-1.21
2017-03-05,3.30,-1.79
2017-02-26,3.36,-0.88
2017-02-19,3.39,13.00
2017-02-12,3.00,0.67
2017-02-05,2.98,0.00
2017-01-29,2.98,0.00
2017-01-22,2.98,0.00
2017-01-15,2.98,0.34
2017-01-08,2.97,-3.88
2017-01-01,3.09,3.69
2016-12-25,2.98,0.00
2016-12-18,2.98,-0.67
2016-12-11,3.00,-7.41
2016-12-04,3.24,-2.11
2016-11-27,3.31,-2.07
2016-11-20,3.38,4.00
2016-11-13,3.25,-7.14
2016-11-06,3.50,-8.14
2016-10-30,3.81,5.83
2016-10-23,3.60,1.69
2016-10-16,3.54,1.14
2016-10-09,3.50,0.86
2016-10-02,3.47,6.77
2016-09-25,3.25,1.88
2016-09-18,3.19,4.59
2016-09-11,3.05,-10.82
2016-09-04,3.42,-6.81
2016-08-28,3.67,-0.81
2016-08-21,3.70,0.82
2016-08-14,3.67,-0.54
2016-08-07,3.69,9.82
2016-07-31,3.36,12.75
2016-07-24,2.98,9.16
2016-07-17,2.73,4.60
2016-07-10,2.61,6.10
2016-07-03,2.46,-17.45
2016-06-26,2.98,37.33
2016-06-19,2.17,-8.05
2016-06-12,2.36,-15.11
2016-06-05,2.78,-1.07
2016-05-29,2.81,-1.40
2016-05-22,2.85,-2.40
2016-05-15,2.92,-1.35
2016-05-08,2.96,-1.33
2016-05-01,3.00,0.00
2016-04-24,3.00,-14.29
2016-04-17,3.50,7.69
2016-04-10,3.25,0.00
2016-04-03,3.25,-7.14
2016-03-27,3.50,0.00
2016-03-20,3.50,7.69
2016-03-13,3.25,-7.14
2016-03-06,3.50,16.67
2016-02-28,3.00,0.00
2016-02-21,3.00,0.00
2016-02-14,3.00,9.09
2016-02-07,2.75,-8.33
2016-01-31,3.00,0.00
2016-01-24,3.00,-7.69
2016-01-17,3.25,8.33
2016-01-10,3.00,-14.29
2016-01-03,3.50,0.00
2015-12-27,3.50,0.00
2015-12-20,3.50,-6.67
2015-12-13,3.75,15.38
2015-12-06,3.25,-7.14
2015-11-29,3.50,0.00
2015-11-22,3.50,-17.65
2015-11-15,4.25,-10.53
2015-11-08,4.75,0.00
2015-11-01,4.75,5.56
2015-10-25,4.50,5.88
2015-10-18,4.25,0.00
2015-10-11,4.25,-10.53
2015-10-04,4.75,46.15
2015-09-27,3.25,-7.14
2015-09-20,3.50,-12.50
2015-09-13,4.00,0.00
2015-09-06,4.00,3.90
2015-08-30,3.85,-7.00
2015-08-23,4.14,0.00
2015-08-16,4.14,-3.27
2015-08-09,4.28,7.27
2015-08-02,3.99,7.55
2015-07-26,3.71,-3.64
2015-07-19,3.85,-10.05
2015-07-12,4.28,0.00
2015-07-05,4.28,-3.17
2015-06-28,4.42,3.27
2015-06-21,4.28,3.38
2015-06-14,4.14,-9.21
2015-06-07,4.56,6.54
2015-05-31,4.28,0.00
2015-05-24,4.28,0.00
2015-05-17,4.28,20.22
2015-05-10,3.56,4.09
2015-05-03,3.42,-7.82
2015-04-26,3.71,-3.64
2015-04-19,3.85,-12.90
2015-04-12,4.42,24.16
2015-04-05,3.56,24.91
2015-03-29,2.85,0.00
2015-03-22,2.85,0.00
2015-03-15,2.85,-13.11
2015-03-08,3.28,0.00
2015-03-01,3.28,0.00
2015-02-22,3.28,-11.59
2015-02-15,3.71,-3.64
2015-02-08,3.85,-37.19
2015-02-01,6.13,2.34
2015-01-25,5.99,-2.28
2015-01-18,6.13,4.79
2015-01-11,5.85,-2.34
2015-01-04,5.99,0.00
2014-12-28,5.99,0.00
2014-12-21,5.99,5.09
2014-12-14,5.70,42.86
2014-12-07,3.99,-63.19
2014-11-30,10.84,-8.45
2014-11-23,11.84,18.64
2014-11-16,9.98,2.89
2014-11-09,9.70,19.31
2014-11-02,8.13,5.58
2014-10-26,7.70,-3.63
2014-10-19,7.99,-17.63
2014-10-12,9.70,3.08
2014-10-05,9.41,-2.99
2014-09-28,9.70,-8.06
2014-09-21,10.55,-22.94
2014-09-14,13.69,-13.52
2014-09-07,15.83,-11.17
2014-08-31,17.82,3.30
2014-08-24,17.25,5.18
2014-08-17,16.40,-4.93
2014-08-10,17.25,0.00
2014-08-03,17.25,12.01
2014-07-27,15.40,-0.90
2014-07-20,15.54,-9.91
2014-07-13,17.25,-5.48
2014-07-06,18.25,2.41
2014-06-29,17.82,3.30
2014-06-22,17.25,-5.48
2014-06-15,18.25,6.66
2014-06-08,17.11,7.14
2014-06-01,15.97,-10.38
2014-05-25,17.82,2.41
2014-05-18,17.40,0.87
2014-05-11,17.25,-4.54
2014-05-04,18.07,12.38
2014-04-27,16.08,-16.90
2014-04-20,19.35,-12.84
2014-04-13,22.20,-2.50
2014-04-06,22.77,1.29
2014-03-30,22.48,-4.26
2014-03-23,23.48,-5.70
2014-03-16,24.90,6.05
2014-03-09,23.48,-12.71
2014-03-02,26.90,-12.09
2014-02-23,30.60,14.39
2014-02-16,26.75,-19.33
2014-02-09,33.16,-16.18
2014-02-02,39.56,-12.86
2014-01-26,45.40,6.00
2014-01-19,42.83,-10.15
2014-01-12,47.67,-0.60
2014-01-05,47.96,5.31
2013-12-29,45.54,8.12
2013-12-22,42.12,11.69
2013-12-15,37.71,-5.37
2013-12-08,39.85,3.35
2013-12-01,38.56,-12.58
2013-11-24,44.11,9.54
2013-11-17,40.27,-13.73
2013-11-10,46.68,-7.60
2013-11-03,50.52,-16.27
2013-10-27,60.34,-2.30
2013-10-20,61.76,-8.63
2013-10-13,67.59,0.63
2013-10-06,67.17,1.51
2013-09-29,66.17,-12.60
2013-09-22,75.71,-6.99
2013-09-15,81.40,-1.38
2013-09-08,82.54,-3.65
2013-09-01,85.67,22.86
2013-08-25,69.73,-1.01
2013-08-18,70.44,-7.47
2013-08-11,76.13,-11.72
2013-08-04,86.24,-10.48
2013-07-28,96.34,-4.65
2013-07-21,101.04,1.58
2013-07-14,99.47,-4.25
2013-07-07,103.88,2.53
2013-06-30,101.32,-3.30
2013-06-23,104.78,-3.21
2013-06-16,108.25,-9.83
2013-06-09,120.05,-7.19
2013-06-02,129.35,-1.90
2013-05-26,131.85,0.00
2013-05-19,131.85,1.93
2013-05-12,129.35,9.26
2013-05-05,118.39,-3.50
2013-04-28,122.69,5.24
2013-04-21,116.58,-8.99
2013-04-14,128.10,-0.11
2013-04-07,128.24,-1.18
2013-03-31,129.77,-1.58
2013-03-24,131.85,-2.36
2013-03-17,135.04,-8.73
2013-03-10,147.95,-7.06
2013-03-03,159.19,6.90
2013-02-24,148.92,6.77
2013-02-17,139.48,-3.27
2013-02-10,144.20,2.77
2013-02-03,140.31,0.60
2013-01-27,139.48,-11.84
2013-01-20,158.22,6.65
2013-01-13,148.36,5.53
2013-01-06,140.59,-11.22
2012-12-30,158.36,2.33
2012-12-23,154.75,-2.62
2012-12-16,158.91,-2.14
2012-12-09,162.38,2.54
2012-12-02,158.36,2.33
2012-11-25,154.75,1.46
2012-11-18,152.53,-0.90
2012-11-11,153.92,-3.81
2012-11-04,160.02,0.61
2012-10-28,159.05,13.80
2012-10-21,139.76,-0.79
2012-10-14,140.87,-3.51
2012-10-07,146.00,2.63
