date,value,variation
2019-12-29,22.97,2.38
2019-12-22,22.44,1.84
2019-12-15,22.03,-1.54
2019-12-08,22.38,4.09
2019-12-01,21.50,5.52
2019-11-24,20.37,0.05
2019-11-17,20.36,-1.21
2019-11-10,20.61,4.15
2019-11-03,19.79,-1.06
2019-10-27,20.00,3.81
2019-10-20,19.27,-2.80
2019-10-13,19.82,-0.80
2019-10-06,19.98,0.86
2019-09-29,19.81,0.65
2019-09-22,19.68,-2.37
2019-09-15,20.16,2.00
2019-09-08,19.77,2.70
2019-09-01,19.25,1.81
2019-08-25,18.91,1.00
2019-08-18,18.72,-2.25
2019-08-11,19.15,-0.49
2019-08-04,19.24,2.82
2019-07-28,18.72,3.31
2019-07-21,18.12,-2.64
2019-07-14,18.61,-2.17
2019-07-07,19.02,2.17
2019-06-30,18.62,2.72
2019-06-23,18.12,0.67
2019-06-16,18.00,2.00
2019-06-09,17.65,1.45
2019-06-02,17.40,2.29
2019-05-26,17.01,6.02
2019-05-19,16.04,2.07
2019-05-12,15.72,-1.75
2019-05-05,16.00,1.11
2019-04-28,15.82,0.27
2019-04-21,15.78,1.20
2019-04-14,15.59,1.51
2019-04-07,15.36,-4.94
2019-03-31,16.16,3.50
2019-03-24,15.61,0.31
2019-03-17,15.56,-3.16
2019-03-10,16.07,-0.18
2019-03-03,16.10,0.04
2019-02-24,16.09,-2.23
2019-02-17,16.46,0.42
2019-02-10,16.39,-1.06
2019-02-03,16.57,-3.75
2019-01-27,17.21,5.02
2019-01-20,16.39,1.44
2019-01-13,16.16,1.81
2019-01-06,15.87,4.27
2018-12-30,15.22,4.61
2018-12-23,14.55,5.70
2018-12-16,13.76,-1.92
2018-12-09,14.03,2.20
2018-12-02,13.73,-3.12
2018-11-25,14.17,0.22
2018-11-18,14.14,1.30
2018-11-11,13.96,3.32
2018-11-04,13.51,0.79
2018-10-28,13.41,5.22
2018-10-21,12.74,3.98
2018-10-14,12.25,6.78
2018-10-07,11.48,-0.05
2018-09-30,11.48,2.40
2018-09-23,11.21,-4.55
2018-09-16,11.75,6.57
2018-09-09,11.02,-4.30
2018-09-02,11.52,3.56
2018-08-26,11.12,-0.45
2018-08-19,11.17,-2.39
2018-08-12,11.45,1.66
2018-08-05,11.26,-6.10
2018-07-29,11.99,-0.08
2018-07-22,12.00,4.98
2018-07-15,11.43,2.77
2018-07-08,11.12,-3.81
2018-07-01,11.56,4.37
2018-06-24,11.08,-0.35
2018-06-17,11.12,-3.68
2018-06-10,11.54,1.21
2018-06-03,11.41,-5.73
2018-05-27,12.10,2.14
2018-05-20,11.84,-1.70
2018-05-13,12.05,-5.15
2018-05-06,12.70,-5.25
2018-04-29,13.41,-1.84
2018-04-22,13.66,3.03
2018-04-15,13.26,-2.94
2018-04-08,13.66,-0.45
2018-04-01,13.72,-0.11
2018-03-25,13.74,0.28
2018-03-18,13.70,3.51
2018-03-11,13.23,-3.93
2018-03-04,13.77,-0.69
2018-02-25,13.87,2.15
2018-02-18,13.58,0.77
2018-02-11,13.47,1.99
2018-02-04,13.21,-0.78
2018-01-28,13.32,1.64
2018-01-21,13.10,2.10
2018-01-14,12.83,-0.18
2018-01-07,12.85,1.93
2017-12-31,12.61,0.15
2017-12-24,12.59,2.64
2017-12-17,12.27,-2.62
2017-12-10,12.60,1.33
2017-12-03,12.43,1.11
2017-11-26,12.30,-1.97
2017-11-19,12.54,1.49
2017-11-12,12.36,5.64
2017-11-05,11.70,-0.41
2017-10-29,11.75,-2.31
2017-10-22,12.03,1.92
2017-10-15,11.80,-1.47
2017-10-08,11.98,1.61
2017-10-01,11.79,0.33
2017-09-24,11.75,-1.29
2017-09-17,11.90,-2.48
2017-09-10,12.20,-0.45
2017-09-03,12.26,3.51
2017-08-27,11.84,-1.45
2017-08-20,12.02,4.02
2017-08-13,11.55,1.48
2017-08-06,11.38,4.20
2017-07-30,10.93,0.30
2017-07-23,10.89,1.16
2017-07-16,10.77,-1.04
2017-07-09,10.88,3.90
2017-07-02,10.47,0.79
2017-06-25,10.39,2.23
2017-06-18,10.17,-1.12
2017-06-11,10.28,3.32
2017-06-04,9.95,-1.50
2017-05-28,10.10,-2.46
2017-05-21,10.36,4.90
2017-05-14,9.87,-2.54
2017-05-07,10.13,-6.60
2017-04-30,10.85,-1.64
2017-04-23,11.03,0.35
2017-04-16,10.99,-1.88
2017-04-09,11.20,0.92
2017-04-02,11.10,-0.54
2017-03-26,11.16,2.42
2017-03-19,10.89,1.85
2017-03-12,10.70,-2.24
2017-03-05,10.94,-3.60
2017-02-26,11.35,0.47
2017-02-19,11.29,2.08
2017-02-12,11.07,1.96
2017-02-05,10.85,-0.97
2017-01-29,10.96,-0.35
2017-01-22,11.00,2.84
2017-01-15,10.69,2.08
2017-01-08,10.47,1.28
2017-01-01,10.34,0.18
2016-12-25,10.32,3.97
2016-12-18,9.93,-0.85
2016-12-11,10.01,2.00
2016-12-04,9.82,0.58
2016-11-27,9.76,-1.05
2016-11-20,9.86,-0.68
2016-11-13,9.93,0.32
2016-11-06,9.90,-5.44
2016-10-30,10.47,0.00
2016-10-23,10.47,2.63
2016-10-16,10.21,3.33
2016-10-09,9.88,2.97
2016-10-02,9.59,0.99
2016-09-25,9.50,-3.79
2016-09-18,9.87,5.42
2016-09-11,9.36,-1.16
2016-09-04,9.47,-2.73
2016-08-28,9.74,2.28
2016-08-21,9.52,-2.76
2016-08-14,9.79,-0.78
2016-08-07,9.87,-4.72
2016-07-31,10.36,-1.17
2016-07-24,10.48,8.67
2016-07-17,9.65,4.03
2016-07-10,9.27,-0.97
2016-07-03,9.36,1.64
2016-06-26,9.21,4.72
2016-06-19,8.80,-1.87
2016-06-12,8.96,2.73
2016-06-05,8.73,-0.58
2016-05-29,8.78,2.54
2016-05-22,8.56,-0.79
2016-05-15,8.63,2.72
