date,value,variation
2019-12-29,53.25,4.47
2019-12-22,50.97,4.02
2019-12-15,49.00,-0.20
2019-12-08,49.10,5.36
2019-12-01,46.60,7.52
2019-11-24,43.34,-1.05
2019-11-17,43.80,-0.52
2019-11-10,44.03,5.87
2019-11-03,41.59,-1.49
2019-10-27,42.22,6.89
2019-10-20,39.50,-5.28
2019-10-13,41.70,9.74
2019-10-06,38.00,0.96
2019-09-29,37.64,4.27
2019-09-22,36.10,-5.50
2019-09-15,38.20,1.87
2019-09-08,37.50,-0.56
2019-09-01,37.71,-3.46
2019-08-25,39.06,8.08
2019-08-18,36.14,0.53
2019-08-11,35.95,0.84
2019-08-04,35.65,5.35
2019-07-28,33.84,5.65
2019-07-21,32.03,5.71
2019-07-14,30.30,4.20
2019-07-07,29.08,0.80
2019-06-30,28.85,12.26
2019-06-23,25.70,-0.39
2019-06-16,25.80,3.20
2019-06-09,25.00,6.02
2019-06-02,23.58,7.18
2019-05-26,22.00,8.37
2019-05-19,20.30,1.65
2019-05-12,19.97,-8.81
2019-05-05,21.90,6.05
2019-04-28,20.65,-5.23
2019-04-21,21.79,4.41
2019-04-14,20.87,2.91
2019-04-07,20.28,-9.02
2019-03-31,22.29,1.60
2019-03-24,21.94,3.78
2019-03-17,21.14,-5.84
2019-03-10,22.45,0.81
2019-03-03,22.27,2.72
2019-02-24,21.68,1.17
2019-02-17,21.43,-0.56
2019-02-10,21.55,-2.58
2019-02-03,22.12,-3.02
2019-01-27,22.81,0.22
2019-01-20,22.76,4.07
2019-01-13,21.87,4.29
2019-01-06,20.97,-0.57
2018-12-30,21.09,2.98
2018-12-23,20.48,3.80
2018-12-16,19.73,-1.45
2018-12-09,20.02,2.40
2018-12-02,19.55,3.82
2018-11-25,18.83,-0.89
2018-11-18,19.00,0.26
2018-11-11,18.95,5.22
2018-11-04,18.01,-5.11
2018-10-28,18.98,4.80
2018-10-21,18.11,11.51
2018-10-14,16.24,5.52
2018-10-07,15.39,-0.26
2018-09-30,15.43,12.22
2018-09-23,13.75,1.33
2018-09-16,13.57,4.55
2018-09-09,12.98,0.54
2018-09-02,12.91,-1.75
2018-08-26,13.14,-0.23
