date,value,variation
2019-12-29,10.28,5.33
2019-12-22,9.76,2.85
2019-12-15,9.49,-13.02
2019-12-08,10.91,-1.71
2019-12-01,11.10,3.74
2019-11-24,10.70,0.09
2019-11-17,10.69,2.39
2019-11-10,10.44,-5.52
2019-11-03,11.05,1.94
2019-10-27,10.84,-4.75
2019-10-20,11.38,-2.32
2019-10-13,11.65,-0.09
2019-10-06,11.66,-1.77
2019-09-29,11.87,8.01
2019-09-22,10.99,-0.09
2019-09-15,11.00,14.70
2019-09-08,9.59,11.90
2019-09-01,8.57,2.63
2019-08-25,8.35,4.64
2019-08-18,7.98,3.10
2019-08-11,7.74,-0.77
2019-08-04,7.80,14.54
2019-07-28,6.81,3.34
2019-07-21,6.59,2.17
2019-07-14,6.45,-5.01
2019-07-07,6.79,1.34
2019-06-30,6.70,6.52
2019-06-23,6.29,-3.97
2019-06-16,6.55,-2.38
2019-06-09,6.71,2.29
2019-06-02,6.56,-3.95
2019-05-26,6.83,-2.57
2019-05-19,7.01,3.85
2019-05-12,6.75,5.97
2019-05-05,6.37,-10.41
2019-04-28,7.11,-1.25
2019-04-21,7.20,3.90
2019-04-14,6.93,6.45
2019-04-07,6.51,-2.25
2019-03-31,6.66,11.37
2019-03-24,5.98,4.55
2019-03-17,5.72,-4.67
2019-03-10,6.00,6.57
2019-03-03,5.63,0.72
2019-02-24,5.59,2.01
2019-02-17,5.48,-5.52
2019-02-10,5.80,-2.19
2019-02-03,5.93,-7.34
2019-01-27,6.40,9.03
2019-01-20,5.87,-2.65
2019-01-13,6.03,8.65
2019-01-06,5.55,-2.29
2018-12-30,5.68,4.03
2018-12-23,5.46,2.25
2018-12-16,5.34,-7.29
2018-12-09,5.76,-7.99
2018-12-02,6.26,0.97
2018-11-25,6.20,-1.12
2018-11-18,6.27,-0.95
2018-11-11,6.33,0.48
2018-11-04,6.30,-3.08
2018-10-28,6.50,2.85
2018-10-21,6.32,4.64
2018-10-14,6.04,8.44
2018-10-07,5.57,7.74
2018-09-30,5.17,-2.45
2018-09-23,5.30,0.76
2018-09-16,5.26,2.94
2018-09-09,5.11,-10.35
2018-09-02,5.70,-0.35
2018-08-26,5.72,-9.21
2018-08-19,6.30,0.96
2018-08-12,6.24,-12.97
2018-08-05,7.17,-12.88
2018-07-29,8.23,4.18
2018-07-22,7.90,-2.71
2018-07-15,8.12,0.87
2018-07-08,8.05,-3.36
2018-07-01,8.33,2.33
2018-06-24,8.14,2.01
2018-06-17,7.98,-3.04
2018-06-10,8.23,-1.32
2018-06-03,8.34,4.51
2018-05-27,7.98,-3.27
2018-05-20,8.25,4.70
2018-05-13,7.88,-0.13
2018-05-06,7.89,-0.88
2018-04-29,7.96,-0.25
2018-04-22,7.98,-2.21
2018-04-15,8.16,-1.69
2018-04-08,8.30,33.44
2018-04-01,6.22,4.71
2018-03-25,5.94,4.21
2018-03-18,5.70,0.88
2018-03-11,5.65,-5.68
2018-03-04,5.99,-5.22
2018-02-25,6.32,3.95
2018-02-18,6.08,-0.16
2018-02-11,6.09,-5.14
2018-02-04,6.42,-3.31
2018-01-28,6.64,-1.78
2018-01-21,6.76,0.90
2018-01-14,6.70,-2.62
2018-01-07,6.88,-5.49
2017-12-31,7.28,-0.55
2017-12-24,7.32,6.24
2017-12-17,6.89,2.07
2017-12-10,6.75,0.15
2017-12-03,6.74,-2.03
2017-11-26,6.88,-2.41
2017-11-19,7.05,2.92
2017-11-12,6.85,3.79
2017-11-05,6.60,7.32
2017-10-29,6.15,-6.11
2017-10-22,6.55,2.50
2017-10-15,6.39,-3.33
2017-10-08,6.61,-1.34
2017-10-01,6.70,3.55
2017-09-24,6.47,-4.15
2017-09-17,6.75,-5.86
2017-09-10,7.17,-1.10
2017-09-03,7.25,0.97
2017-08-27,7.18,1.56
2017-08-20,7.07,-0.28
2017-08-13,7.09,3.05
2017-08-06,6.88,5.04
2017-07-30,6.55,1.55
