date,value,variation
2019-12-29,21.78,1.19
2019-12-22,21.52,4.73
2019-12-15,20.55,-5.46
2019-12-08,21.74,17.28
2019-12-01,18.53,9.62
2019-11-24,16.91,-3.41
2019-11-17,17.51,9.73
2019-11-10,15.95,-5.94
2019-11-03,16.96,-1.26
2019-10-27,17.18,5.13
2019-10-20,16.34,-1.75
2019-10-13,16.63,-1.17
2019-10-06,16.83,-2.08
2019-09-29,17.19,3.63
2019-09-22,16.58,-3.72
2019-09-15,17.22,3.39
2019-09-08,16.66,1.43
2019-09-01,16.42,-11.42
2019-08-25,18.54,5.18
2019-08-18,17.63,1.79
2019-08-11,17.32,-13.41
2019-08-04,20.00,1.67
2019-07-28,19.67,8.12
2019-07-21,18.19,1.63
2019-07-14,17.90,-2.11
2019-07-07,18.29,0.41
2019-06-30,18.21,-1.12
2019-06-23,18.42,0.98
2019-06-16,18.24,12.02
2019-06-09,16.28,-0.86
2019-06-02,16.42,3.65
2019-05-26,15.84,7.70
2019-05-19,14.71,7.91
2019-05-12,13.63,-5.07
2019-05-05,14.36,7.81
2019-04-28,13.32,-0.48
2019-04-21,13.38,0.97
2019-04-14,13.26,7.39
2019-04-07,12.34,-6.10
2019-03-31,13.15,2.00
2019-03-24,12.89,4.40
2019-03-17,12.34,-6.62
2019-03-10,13.22,0.07
2019-03-03,13.21,3.31
2019-02-24,12.79,1.24
2019-02-17,12.63,-2.07
2019-02-10,12.90,-3.31
2019-02-03,13.34,-2.16
2019-01-27,13.63,-0.34
2019-01-20,13.68,6.68
2019-01-13,12.82,4.35
2019-01-06,12.29,7.15
2018-12-30,11.47,0.73
2018-12-23,11.39,2.91
2018-12-16,11.06,12.05
2018-12-09,9.87,1.21
2018-12-02,9.76,-1.24
2018-11-25,9.88,0.75
2018-11-18,9.80,-2.90
2018-11-11,10.10,3.59
2018-11-04,9.75,-5.60
2018-10-28,10.33,3.34
2018-10-21,9.99,1.99
2018-10-14,9.80,-1.64
2018-10-07,9.96,-7.91
2018-09-30,10.81,8.06
2018-09-23,10.01,0.00
2018-09-16,10.01,1.15
2018-09-09,9.89,-4.56
2018-09-02,10.37,-2.08
2018-08-26,10.59,1.01
2018-08-19,10.48,-2.05
2018-08-12,10.70,-1.50
2018-08-05,10.86,-3.12
2018-07-29,11.21,1.10
2018-07-22,11.09,-0.29
2018-07-15,11.12,4.04
2018-07-08,10.69,3.79
2018-07-01,10.30,5.07
2018-06-24,9.80,-0.08
2018-06-17,9.81,2.29
2018-06-10,9.59,-3.92
2018-06-03,9.98,-9.59
2018-05-27,11.04,-3.68
2018-05-20,11.46,2.41
2018-05-13,11.19,-5.74
2018-05-06,11.88,6.93
2018-04-29,11.11,-6.67
2018-04-22,11.90,2.81
2018-04-15,11.58,0.67
2018-04-08,11.50,-5.60
2018-04-01,12.18,-3.26
2018-03-25,12.59,3.70
2018-03-18,12.14,-5.32
2018-03-11,12.82,7.26
2018-03-04,11.95,0.98
2018-02-25,11.84,-0.39
2018-02-18,11.89,-0.71
2018-02-11,11.97,3.55
2018-02-04,11.56,-1.84
2018-01-28,11.78,-1.43
2018-01-21,11.95,-0.52
2018-01-14,12.01,0.06
2018-01-07,12.00,0.13
2017-12-31,11.99,2.86
2017-12-24,11.65,4.23
2017-12-17,11.18,1.98
2017-12-10,10.96,6.71
2017-12-03,10.27,0.08
2017-11-26,10.27,-4.54
2017-11-19,10.75,3.74
2017-11-12,10.37,5.02
2017-11-05,9.87,-2.38
2017-10-29,10.11,-4.54
2017-10-22,10.59,-2.98
2017-10-15,10.92,-2.69
2017-10-08,11.22,3.58
2017-10-01,10.83,1.60
2017-09-24,10.66,-2.96
2017-09-17,10.99,-2.48
2017-09-10,11.27,0.90
2017-09-03,11.16,7.46
2017-08-27,10.39,2.37
2017-08-20,10.15,-2.60
2017-08-13,10.42,-3.93
2017-08-06,10.85,0.72
2017-07-30,10.77,-2.87
2017-07-23,11.09,0.92
2017-07-16,10.99,2.46
2017-07-09,10.72,5.17
2017-07-02,10.20,-2.66
2017-06-25,10.48,6.88
2017-06-18,9.80,-3.44
2017-06-11,10.15,1.08
2017-06-04,10.04,-1.44
2017-05-28,10.19,-3.17
2017-05-21,10.52,-0.51
2017-05-14,10.58,-6.92
2017-05-07,11.36,-2.22
2017-04-30,11.62,-4.02
2017-04-23,12.11,3.31
2017-04-16,11.72,4.54
2017-04-09,11.21,-1.27
2017-04-02,11.35,4.11
2017-03-26,10.91,-3.17
2017-03-19,11.26,-2.75
2017-03-12,11.58,2.69
2017-03-05,11.28,6.91
2017-02-26,10.55,-0.35
2017-02-19,10.59,2.15
2017-02-12,10.36,-0.14
2017-02-05,10.38,3.09
2017-01-29,10.07,8.90
2017-01-22,9.24,3.92
2017-01-15,8.90,3.63
2017-01-08,8.58,1.94
2017-01-01,8.42,3.84
2016-12-25,8.11,1.86
2016-12-18,7.96,-3.59
2016-12-11,8.26,3.82
2016-12-04,7.95,-1.74
2016-11-27,8.10,-4.63
2016-11-20,8.49,0.88
2016-11-13,8.41,-2.32
2016-11-06,8.61,-1.94
2016-10-30,8.79,-5.43
2016-10-23,9.29,0.40
2016-10-16,9.25,3.74
2016-10-09,8.92,-1.23
2016-10-02,9.03,2.01
2016-09-25,8.85,1.36
2016-09-18,8.73,0.34
2016-09-11,8.70,2.44
2016-09-04,8.50,-6.60
2016-08-28,9.10,0.57
2016-08-21,9.04,0.41
2016-08-14,9.01,-3.80
2016-08-07,9.36,-5.39
2016-07-31,9.90,-1.48
2016-07-24,10.05,3.44
2016-07-17,9.71,7.03
2016-07-10,9.07,7.09
2016-07-03,8.47,3.91
2016-06-26,8.15,6.18
2016-06-19,7.68,2.98
2016-06-12,7.46,-4.73
2016-06-05,7.83,0.38
2016-05-29,7.80,6.26
2016-05-22,7.34,-7.56
2016-05-15,7.94,-9.11
2016-05-08,8.74,2.88
2016-05-01,8.49,-1.83
2016-04-24,8.65,1.86
2016-04-17,8.49,-0.84
2016-04-10,8.56,-1.49
2016-04-03,8.69,0.67
2016-03-27,8.63,1.35
2016-03-20,8.52,-2.23
2016-03-13,8.71,8.51
2016-03-06,8.03,3.33
2016-02-28,7.77,4.85
2016-02-21,7.41,5.53
2016-02-14,7.02,9.79
2016-02-07,6.40,-2.84
2016-01-31,6.58,0.00
2016-01-24,6.58,6.40
2016-01-17,6.19,3.61
2016-01-10,5.97,0.48
2016-01-03,5.94,-4.84
2015-12-27,6.25,0.93
2015-12-20,6.19,-1.71
2015-12-13,6.30,-0.11
2015-12-06,6.30,0.11
2015-11-29,6.30,1.98
2015-11-22,6.17,-2.94
2015-11-15,6.36,3.76
2015-11-08,6.13,7.30
2015-11-01,5.71,7.01
2015-10-25,5.34,2.20
2015-10-18,5.22,0.00
2015-10-11,5.22,-6.88
2015-10-04,5.61,8.72
2015-09-27,5.16,6.17
2015-09-20,4.86,-6.36
2015-09-13,5.19,5.49
2015-09-06,4.92,0.61
2015-08-30,4.89,-5.05
2015-08-23,5.15,0.39
2015-08-16,5.13,-4.11
2015-08-09,5.35,-3.95
2015-08-02,5.57,-7.32
2015-07-26,6.01,3.44
2015-07-19,5.81,-6.74
2015-07-12,6.23,1.14
2015-07-05,6.16,1.65
2015-06-28,6.06,-3.04
2015-06-21,6.25,4.34
2015-06-14,5.99,-0.66
2015-06-07,6.03,-2.27
2015-05-31,6.17,3.87
2015-05-24,5.94,-2.78
2015-05-17,6.11,-3.93
2015-05-10,6.36,4.61
2015-05-03,6.08,-0.98
2015-04-26,6.14,-5.68
2015-04-19,6.51,0.46
2015-04-12,6.48,1.57
2015-04-05,6.38,2.90
2015-03-29,6.20,6.16
2015-03-22,5.84,-0.51
2015-03-15,5.87,13.76
2015-03-08,5.16,0.58
2015-03-01,5.13,1.38
2015-02-22,5.06,-6.81
2015-02-15,5.43,1.31
2015-02-08,5.36,2.29
2015-02-01,5.24,1.95
2015-01-25,5.14,-2.84
2015-01-18,5.29,1.15
2015-01-11,5.23,-2.97
2015-01-04,5.39,0.19
2014-12-28,5.38,-4.95
2014-12-21,5.66,2.72
2014-12-14,5.51,0.55
2014-12-07,5.48,-11.04
2014-11-30,6.16,-3.14
2014-11-23,6.36,0.47
2014-11-16,6.33,13.64
2014-11-09,5.57,-4.13
2014-11-02,5.81,-4.75
2014-10-26,6.10,12.13
2014-10-19,5.44,-9.63
2014-10-12,6.02,-2.59
2014-10-05,6.18,1.81
2014-09-28,6.07,-1.30
2014-09-21,6.15,-0.81
2014-09-14,6.20,-2.05
2014-09-07,6.33,-9.05
2014-08-31,6.96,2.50
2014-08-24,6.79,11.31
2014-08-17,6.10,4.81
2014-08-10,5.82,5.43
2014-08-03,5.52,1.66
2014-07-27,5.43,-7.34
2014-07-20,5.86,3.17
2014-07-13,5.68,4.99
2014-07-06,5.41,-0.92
2014-06-29,5.46,0.00
2014-06-22,5.46,-0.91
2014-06-15,5.51,-3.84
2014-06-08,5.73,3.24
2014-06-01,5.55,8.61
2014-05-25,5.11,4.50
2014-05-18,4.89,-0.41
2014-05-11,4.91,-2.96
2014-05-04,5.06,0.00
2014-04-27,5.06,0.00
2014-04-20,5.06,-3.44
2014-04-13,5.24,-0.57
2014-04-06,5.27,-5.22
2014-03-30,5.56,-1.59
2014-03-23,5.65,9.28
2014-03-16,5.17,-1.34
2014-03-09,5.24,-11.19
2014-03-02,5.90,1.90
2014-02-23,5.79,-1.86
2014-02-16,5.90,-2.96
2014-02-09,6.08,-0.49
