date,value,variation
2019-12-29,32.92,2.01
2019-12-22,32.27,3.20
2019-12-15,31.27,3.78
2019-12-08,30.13,1.04
2019-12-01,29.82,5.56
2019-11-24,28.25,-1.94
2019-11-17,28.81,0.45
2019-11-10,28.68,2.10
2019-11-03,28.09,-0.99
2019-10-27,28.37,1.68
2019-10-20,27.90,-2.52
2019-10-13,28.62,4.84
2019-10-06,27.30,-0.26
2019-09-29,27.37,-1.51
2019-09-22,27.79,-0.39
2019-09-15,27.90,10.58
2019-09-08,25.23,-1.33
2019-09-01,25.57,1.19
2019-08-25,25.27,0.76
2019-08-18,25.08,-4.09
2019-08-11,26.15,-3.93
2019-08-04,27.22,-1.45
2019-07-28,27.62,2.94
2019-07-21,26.83,-1.69
2019-07-14,27.29,-1.05
2019-07-07,27.58,0.58
2019-06-30,27.42,1.59
2019-06-23,26.99,-0.15
2019-06-16,27.03,2.89
2019-06-09,26.27,4.25
2019-06-02,25.20,5.04
2019-05-26,23.99,9.14
2019-05-19,21.98,5.52
2019-05-12,20.83,-9.83
2019-05-05,23.10,-1.03
2019-04-28,23.34,0.13
2019-04-21,23.31,4.48
2019-04-14,22.31,5.99
2019-04-07,21.05,-8.52
2019-03-31,23.01,1.86
2019-03-24,22.59,-0.48
2019-03-17,22.70,-4.62
2019-03-10,23.80,1.32
2019-03-03,23.49,-1.26
2019-02-24,23.79,-3.21
2019-02-17,24.58,-0.04
2019-02-10,24.59,0.49
2019-02-03,24.47,-2.97
2019-01-27,25.22,4.04
2019-01-20,24.24,3.37
2019-01-13,23.45,2.49
2019-01-06,22.88,-3.62
2018-12-30,23.74,1.63
2018-12-23,23.36,5.94
2018-12-16,22.05,-2.35
2018-12-09,22.58,1.30
2018-12-02,22.29,-0.04
2018-11-25,22.30,0.63
2018-11-18,22.16,-0.14
2018-11-11,22.19,2.83
2018-11-04,21.58,-3.49
2018-10-28,22.36,5.77
2018-10-21,21.14,1.39
2018-10-14,20.85,5.09
2018-10-07,19.84,4.26
2018-09-30,19.03,5.84
2018-09-23,17.98,-0.33
2018-09-16,18.04,5.50
2018-09-09,17.10,-3.39
2018-09-02,17.70,-0.39
2018-08-26,17.77,0.74
2018-08-19,17.64,-0.90
2018-08-12,17.80,0.68
2018-08-05,17.68,-8.58
2018-07-29,19.34,1.36
2018-07-22,19.08,0.85
2018-07-15,18.92,0.64
2018-07-08,18.80,5.56
2018-07-01,17.81,-1.71
2018-06-24,18.12,7.03
2018-06-17,16.93,2.48
2018-06-10,16.52,-5.38
2018-06-03,17.46,-6.23
2018-05-27,18.62,-1.64
2018-05-20,18.93,2.10
2018-05-13,18.54,-5.50
2018-05-06,19.62,-0.46
2018-04-29,19.71,-6.59
2018-04-22,21.10,3.38
2018-04-15,20.41,0.64
2018-04-08,20.28,-3.01
2018-04-01,20.91,-3.33
2018-03-25,21.63,1.50
2018-03-18,21.31,2.11
2018-03-11,20.87,-4.49
2018-03-04,21.85,-1.09
2018-02-25,22.09,-2.00
2018-02-18,22.54,4.74
2018-02-11,21.52,0.89
2018-02-04,21.33,-8.14
2018-01-28,23.22,-0.64
2018-01-21,23.37,1.70
2018-01-14,22.98,0.70
2018-01-07,22.82,-0.70
2017-12-31,22.98,2.96
2017-12-24,22.32,1.18
2017-12-17,22.06,2.60
2017-12-10,21.50,-1.06
2017-12-03,21.73,0.00
2017-11-26,21.73,-3.72
2017-11-19,22.57,0.04
2017-11-12,22.56,2.55
2017-11-05,22.00,-2.09
2017-10-29,22.47,-2.64
2017-10-22,23.08,-1.58
2017-10-15,23.45,-0.30
2017-10-08,23.52,1.73
2017-10-01,23.12,0.61
2017-09-24,22.98,-1.75
2017-09-17,23.39,-5.27
2017-09-10,24.69,5.06
2017-09-03,23.50,4.21
2017-08-27,22.55,-2.13
2017-08-20,23.04,3.09
2017-08-13,22.35,-1.84
2017-08-06,22.77,1.65
2017-07-30,22.40,-2.10
2017-07-23,22.88,5.88
2017-07-16,21.61,-0.60
2017-07-09,21.74,8.00
2017-07-02,20.13,-1.23
2017-06-25,20.38,0.64
2017-06-18,20.25,-1.60
2017-06-11,20.58,0.64
2017-06-04,20.45,3.13
2017-05-28,19.83,-1.25
2017-05-21,20.08,1.52
2017-05-14,19.78,-10.13
2017-05-07,22.01,3.53
2017-04-30,21.26,1.48
2017-04-23,20.95,1.11
2017-04-16,20.72,1.57
2017-04-09,20.40,-1.59
2017-04-02,20.73,1.07
2017-03-26,20.51,1.58
2017-03-19,20.19,-0.54
2017-03-12,20.30,0.50
2017-03-05,20.20,0.85
2017-02-26,20.03,0.70
2017-02-19,19.89,-2.40
2017-02-12,20.38,-2.07
2017-02-05,20.81,2.87
2017-01-29,20.23,2.95
2017-01-22,19.65,0.00
2017-01-15,19.65,-1.75
2017-01-08,20.00,4.82
2017-01-01,19.08,4.38
2016-12-25,18.28,3.22
2016-12-18,17.71,0.40
2016-12-11,17.64,-2.43
2016-12-04,18.08,6.86
2016-11-27,16.92,-4.19
2016-11-20,17.66,-0.56
2016-11-13,17.76,0.34
2016-11-06,17.70,-6.89
2016-10-30,19.01,-1.35
2016-10-23,19.27,-3.12
2016-10-16,19.89,1.07
2016-10-09,19.68,-1.70
2016-10-02,20.02,2.88
2016-09-25,19.46,2.15
2016-09-18,19.05,-1.35
2016-09-11,19.31,0.47
2016-09-04,19.22,-2.09
2016-08-28,19.63,6.92
2016-08-21,18.36,-2.13
2016-08-14,18.76,-4.19
2016-08-07,19.58,-4.07
2016-07-31,20.41,4.94
2016-07-24,19.45,-0.26
2016-07-17,19.50,1.77
2016-07-10,19.16,1.59
2016-07-03,18.86,2.06
2016-06-26,18.48,4.11
2016-06-19,17.75,-0.78
2016-06-12,17.89,2.88
2016-06-05,17.39,-0.06
2016-05-29,17.40,4.57
2016-05-22,16.64,-4.37
2016-05-15,17.40,-5.13
2016-05-08,18.34,6.81
2016-05-01,17.17,-4.61
2016-04-24,18.00,6.89
2016-04-17,16.84,-2.26
2016-04-10,17.23,0.82
2016-04-03,17.09,2.15
2016-03-27,16.73,4.76
2016-03-20,15.97,0.25
2016-03-13,15.93,1.85
2016-03-06,15.64,0.45
2016-02-28,15.57,12.10
2016-02-21,13.89,5.79
2016-02-14,13.13,1.00
2016-02-07,13.00,-2.11
2016-01-31,13.28,5.06
2016-01-24,12.64,5.60
2016-01-17,11.97,0.93
