date,value,variation
2019-12-29,48.53,1.96
2019-12-22,47.60,5.31
2019-12-15,45.20,2.33
2019-12-08,44.17,2.47
2019-12-01,43.11,1.47
2019-11-24,42.48,1.74
2019-11-17,41.76,6.04
2019-11-10,39.38,0.48
2019-11-03,39.19,-4.04
2019-10-27,40.84,3.66
2019-10-20,39.40,-7.03
2019-10-13,42.38,3.76
2019-10-06,40.84,-1.25
2019-09-29,41.36,-0.70
2019-09-22,41.65,-3.94
2019-09-15,43.36,4.86
2019-09-08,41.35,-6.17
2019-09-01,44.07,-0.45
2019-08-25,44.27,7.50
2019-08-18,41.18,-2.73
2019-08-11,42.34,0.87
2019-08-04,41.97,-2.43
2019-07-28,43.02,5.74
2019-07-21,40.68,0.86
2019-07-14,40.34,1.44
2019-07-07,39.76,-1.47
2019-06-30,40.35,4.64
2019-06-23,38.57,0.45
2019-06-16,38.39,3.86
2019-06-09,36.97,1.49
2019-06-02,36.42,2.00
2019-05-26,35.71,4.65
2019-05-19,34.12,4.27
2019-05-12,32.72,-5.12
2019-05-05,34.49,2.51
2019-04-28,33.64,-0.06
2019-04-21,33.66,9.49
2019-04-14,30.74,3.18
2019-04-07,29.80,-0.41
2019-03-31,29.92,-3.57
2019-03-24,31.03,2.88
2019-03-17,30.16,-6.31
2019-03-10,32.19,1.62
2019-03-03,31.67,0.74
2019-02-24,31.44,-3.09
2019-02-17,32.44,1.43
2019-02-10,31.98,2.70
2019-02-03,31.14,1.46
2019-01-27,30.69,1.80
2019-01-20,30.15,3.34
2019-01-13,29.17,5.77
2019-01-06,27.58,-1.90
2018-12-30,28.12,1.01
2018-12-23,27.84,2.73
2018-12-16,27.10,2.61
2018-12-09,26.41,4.54
2018-12-02,25.26,0.59
2018-11-25,25.11,-3.55
2018-11-18,26.04,0.58
2018-11-11,25.89,2.89
2018-11-04,25.16,-6.62
2018-10-28,26.94,8.45
2018-10-21,24.84,4.31
2018-10-14,23.81,5.89
2018-10-07,22.49,-0.21
2018-09-30,22.54,6.15
2018-09-23,21.23,-3.24
2018-09-16,21.94,11.49
2018-09-09,19.68,-3.34
2018-09-02,20.36,1.63
2018-08-26,20.03,-1.73
2018-08-19,20.39,-1.92
2018-08-12,20.79,-3.79
2018-08-05,21.61,-6.52
2018-07-29,23.11,0.08
2018-07-22,23.09,-1.90
2018-07-15,23.54,6.62
2018-07-08,22.08,3.99
2018-07-01,21.23,-3.83
2018-06-24,22.08,4.27
2018-06-17,21.17,0.80
2018-06-10,21.01,-5.67
2018-06-03,22.27,-7.66
2018-05-27,24.12,4.88
2018-05-20,22.99,-1.43
2018-05-13,23.33,-3.27
2018-05-06,24.12,-2.04
2018-04-29,24.62,-5.59
2018-04-22,26.07,-4.03
2018-04-15,27.17,-0.71
2018-04-08,27.36,1.65
2018-04-01,26.92,1.01
2018-03-25,26.65,3.54
2018-03-18,25.74,0.36
2018-03-11,25.64,-5.78
2018-03-04,27.22,13.65
2018-02-25,23.95,-1.22
2018-02-18,24.25,5.82
2018-02-11,22.91,3.60
2018-02-04,22.12,-5.94
2018-01-28,23.52,1.40
2018-01-21,23.19,4.42
2018-01-14,22.21,5.31
2018-01-07,21.09,-1.21
2017-12-31,21.35,4.53
2017-12-24,20.42,3.08
2017-12-17,19.81,1.33
2017-12-10,19.55,0.17
2017-12-03,19.52,2.97
2017-11-26,18.96,-1.58
2017-11-19,19.26,-0.24
2017-11-12,19.31,2.80
2017-11-05,18.78,6.17
2017-10-29,17.69,-2.54
2017-10-22,18.15,0.00
2017-10-15,18.15,2.06
2017-10-08,17.78,-1.70
2017-10-01,18.09,1.91
2017-09-24,17.75,-5.09
2017-09-17,18.71,-1.15
2017-09-10,18.92,-2.45
2017-09-03,19.40,5.14
2017-08-27,18.45,2.10
2017-08-20,18.07,6.84
2017-08-13,16.91,6.06
2017-08-06,15.95,1.74
2017-07-30,15.68,-1.43
2017-07-23,15.90,0.68
2017-07-16,15.80,4.72
2017-07-09,15.08,7.80
2017-07-02,13.99,1.44
2017-06-25,13.79,2.80
2017-06-18,13.42,1.67
2017-06-11,13.20,-2.13
2017-06-04,13.48,-0.09
2017-05-28,13.50,0.75
2017-05-21,13.40,2.00
2017-05-14,13.13,-10.25
2017-05-07,14.63,4.81
2017-04-30,13.96,1.45
2017-04-23,13.76,7.74
2017-04-16,12.77,0.69
2017-04-09,12.69,0.48
2017-04-02,12.62,4.13
2017-03-26,12.12,-0.79
2017-03-19,12.22,-1.43
2017-03-12,12.40,6.38
2017-03-05,11.65,3.74
2017-02-26,11.23,0.67
2017-02-19,11.16,-0.82
2017-02-12,11.25,-0.13
2017-02-05,11.27,1.67
2017-01-29,11.08,0.68
2017-01-22,11.01,3.12
2017-01-15,10.67,-3.56
2017-01-08,11.07,4.91
2017-01-01,10.55,6.43
2016-12-25,9.91,-0.78
2016-12-18,9.99,5.21
2016-12-11,9.49,-5.71
2016-12-04,10.07,6.74
2016-11-27,9.43,-8.41
2016-11-20,10.30,6.55
2016-11-13,9.67,-4.49
2016-11-06,10.12,-7.79
2016-10-30,10.98,-4.86
2016-10-23,11.54,-1.72
2016-10-16,11.74,0.00
2016-10-09,11.74,-1.66
2016-10-02,11.94,5.03
2016-09-25,11.36,-1.51
2016-09-18,11.54,0.93
2016-09-11,11.43,-2.64
2016-09-04,11.74,-2.54
2016-08-28,12.05,6.05
2016-08-21,11.36,-4.30
2016-08-14,11.87,-1.82
2016-08-07,12.09,0.24
2016-07-31,12.06,4.47
2016-07-24,11.55,3.87
2016-07-17,11.12,7.18
2016-07-10,10.37,4.32
2016-07-03,9.94,-0.29
2016-06-26,9.97,1.59
2016-06-19,9.82,0.97
2016-06-12,9.72,2.07
2016-06-05,9.52,-1.36
2016-05-29,9.66,3.61
2016-05-22,9.32,-3.57
2016-05-15,9.66,-7.07
2016-05-08,10.40,5.07
2016-05-01,9.90,5.23
2016-04-24,9.41,5.80
2016-04-17,8.89,-5.94
2016-04-10,9.45,2.50
2016-04-03,9.22,6.77
2016-03-27,8.64,10.82
2016-03-20,7.79,-7.03
2016-03-13,8.38,8.79
2016-03-06,7.71,-0.59
2016-02-28,7.75,20.38
2016-02-21,6.44,6.12
2016-02-14,6.07,1.71
2016-02-07,5.97,-4.32
2016-01-31,6.23,0.32
2016-01-24,6.22,7.03
2016-01-17,5.81,-8.45
2016-01-10,6.34,-6.75
