date,value,variation
2019-12-29,47.60,5.01
2019-12-22,45.33,2.43
2019-12-15,44.26,5.90
2019-12-08,41.79,0.09
2019-12-01,41.75,1.29
2019-11-24,41.22,-4.77
2019-11-17,43.29,0.65
2019-11-10,43.01,-1.24
2019-11-03,43.55,-1.08
2019-10-27,44.02,-3.90
2019-10-20,45.81,7.20
2019-10-13,42.73,-1.68
2019-10-06,43.46,4.93
2019-09-29,41.42,-2.71
2019-09-22,42.57,3.97
2019-09-15,40.95,-2.48
2019-09-08,41.99,2.73
2019-09-01,40.87,3.29
2019-08-25,39.57,3.83
2019-08-18,38.11,-3.80
2019-08-11,39.62,-3.35
2019-08-04,40.99,3.86
2019-07-28,39.47,-5.70
2019-07-21,41.86,-3.43
2019-07-14,43.34,1.32
2019-07-07,42.78,-2.32
2019-06-30,43.79,4.29
2019-06-23,41.99,-0.53
2019-06-16,42.21,5.35
2019-06-09,40.07,-3.81
2019-06-02,41.66,-1.31
2019-05-26,42.21,7.03
2019-05-19,39.44,2.10
2019-05-12,38.63,-3.73
2019-05-05,40.12,-3.19
2019-04-28,41.45,-1.75
2019-04-21,42.18,0.77
2019-04-14,41.86,1.41
2019-04-07,41.28,-2.19
2019-03-31,42.20,4.53
2019-03-24,40.38,1.64
2019-03-17,39.73,-7.52
2019-03-10,42.96,5.36
2019-03-03,40.77,0.23
2019-02-24,40.68,-8.92
2019-02-17,44.67,-1.14
2019-02-10,45.18,0.41
2019-02-03,45.00,0.51
2019-01-27,44.77,-1.65
2019-01-20,45.52,2.35
2019-01-13,44.47,2.19
2019-01-06,43.52,3.17
2018-12-30,42.18,10.54
2018-12-23,38.16,1.47
2018-12-16,37.61,-3.62
2018-12-09,39.02,0.02
2018-12-02,39.01,2.18
2018-11-25,38.18,1.21
2018-11-18,37.72,-1.91
2018-11-11,38.46,3.31
2018-11-04,37.22,-0.36
2018-10-28,37.36,-3.49
2018-10-21,38.71,8.09
2018-10-14,35.81,1.88
2018-10-07,35.15,0.00
2018-09-30,35.15,10.59
2018-09-23,31.78,-2.70
2018-09-16,32.67,7.44
2018-09-09,30.40,-0.44
2018-09-02,30.54,-0.84
2018-08-26,30.80,2.10
2018-08-19,30.16,-2.50
2018-08-12,30.94,-1.95
2018-08-05,31.55,-7.00
2018-07-29,33.93,5.89
2018-07-22,32.04,5.82
2018-07-15,30.28,8.00
2018-07-08,28.04,5.74
2018-07-01,26.51,2.22
2018-06-24,25.94,-2.82
2018-06-17,26.69,1.89
2018-06-10,26.20,-7.53
2018-06-03,28.33,-8.65
2018-05-27,31.01,1.07
2018-05-20,30.68,-2.37
2018-05-13,31.43,-2.77
2018-05-06,32.32,0.55
2018-04-29,32.15,-5.00
2018-04-22,33.84,-1.65
2018-04-15,34.40,0.15
2018-04-08,34.35,-0.05
2018-04-01,34.37,-2.34
2018-03-25,35.19,7.66
2018-03-18,32.69,-1.54
2018-03-11,33.20,2.20
2018-03-04,32.48,0.63
2018-02-25,32.28,-3.84
2018-02-18,33.57,3.90
2018-02-11,32.31,5.35
2018-02-04,30.67,-4.45
2018-01-28,32.09,-0.79
2018-01-21,32.35,12.30
2018-01-14,28.81,0.49
2018-01-07,28.66,1.86
2017-12-31,28.14,4.14
2017-12-24,27.02,0.25
2017-12-17,26.95,0.25
2017-12-10,26.89,-0.87
2017-12-03,27.12,9.36
2017-11-26,24.80,-4.00
2017-11-19,25.84,0.89
2017-11-12,25.61,3.28
2017-11-05,24.79,-0.75
2017-10-29,24.98,-1.93
2017-10-22,25.47,0.00
2017-10-15,25.47,0.60
2017-10-08,25.32,4.27
2017-10-01,24.28,4.12
2017-09-24,23.32,-3.73
2017-09-17,24.22,-0.17
2017-09-10,24.26,0.45
2017-09-03,24.16,1.35
2017-08-27,23.83,0.57
2017-08-20,23.70,2.52
2017-08-13,23.12,0.37
2017-08-06,23.03,4.28
2017-07-30,22.09,2.74
2017-07-23,21.50,-1.04
2017-07-16,21.72,-3.11
2017-07-09,22.42,5.20
2017-07-02,21.31,1.56
2017-06-25,20.99,0.16
2017-06-18,20.95,0.08
2017-06-11,20.94,1.34
2017-06-04,20.66,-1.48
2017-05-28,20.97,-3.03
2017-05-21,21.62,1.58
2017-05-14,21.29,-11.48
2017-05-07,24.05,3.13
2017-04-30,23.32,1.81
2017-04-23,22.90,8.08
2017-04-16,21.19,6.73
